TotalEpisodes,GoodMan,Bandit,
100,0.23,0.77,
200,0.15,0.85,
300,0.19,0.81,
400,0.11,0.89,
500,0.13,0.87,
600,0.11,0.89,
700,0.06,0.94,
800,0.05,0.95,
900,0.11,0.89,
1000,0.05,0.95,
1100,0.09,0.91,
1200,0.1,0.9,
1300,0.08,0.92,
1400,0.16,0.84,
1500,0.1,0.9,
1600,0.08,0.92,
1700,0.08,0.92,
1800,0.13,0.87,
1900,0.08,0.92,
2000,0.1,0.9,
2100,0.07,0.93,
2200,0.04,0.96,
2300,0.08,0.92,
2400,0.09,0.91,
2500,0.11,0.89,
2600,0.09,0.91,
2700,0.13,0.87,
