TotalEpisodes,GoodMan,Bandit,
100,0.05,0.95,
200,0.05,0.95,
300,0.06,0.94,
400,0.07,0.93,
500,0.07,0.93,
600,0.12,0.88,
700,0.04,0.96,
800,0.08,0.92,
900,0.07,0.93,
1000,0.12,0.88,
1100,0.04,0.96,
1200,0.06,0.94,
1300,0.07,0.93,
1400,0.08,0.92,
1500,0.09,0.91,
1600,0.08,0.92,
1700,0.11,0.89,
1800,0.1,0.9,
1900,0.09,0.91,
2000,0.06,0.94,
2100,0.06,0.94,
2200,0.1,0.9,
2300,0.12,0.88,
2400,0.04,0.96,
2500,0.07,0.93,
2600,0.08,0.92,
2700,0.05,0.95,
2800,0.12,0.88,
2900,0.09,0.91,
