TotalEpisodes,Agent Winrate,Player Winrate
10700,0.04,0.96
10800,0.04,0.96
10900,0.06,0.94
11000,0.06,0.94
11100,0.03,0.97
11200,0.08,0.92
11300,0.07,0.93
11400,0.08,0.92
11500,0.07,0.93
11600,0.08,0.92
11700,0.04,0.96
11800,0.06,0.94
11900,0.09,0.91
12000,0.06,0.94
12100,0.02,0.98
12200,0.02,0.98
12300,0.06,0.94
12400,0.04,0.96
12500,0.07,0.93
12600,0.05,0.95
12700,0.12,0.88
12800,0.09,0.91
12900,0.06,0.94
13000,0.06,0.94
13100,0.03,0.97
13200,0.09,0.91
13300,0.04,0.96
13400,0.08,0.92
13500,0.08,0.92
13600,0.06,0.94
13700,0.03,0.97
13800,0.05,0.95
13900,0.04,0.96
14000,0.04,0.96
14100,0.05,0.95
14200,0.02,0.98
14300,0.03,0.97
14400,0.03,0.97
14500,0.06,0.94
14600,0.09,0.91
14700,0.04,0.96
14800,0.06,0.94
14900,0.11,0.89
15000,0.11,0.89
15100,0.05,0.95
15200,0.05,0.95
15300,0.04,0.96
15400,0.02,0.98
15500,0.1,0.9
15600,0.05,0.95
15700,0.08,0.92
15800,0.02,0.98
15900,0.05,0.95
16000,0.02,0.98
16100,0.06,0.94
16200,0.05,0.95
16300,0.06,0.94
16400,0.07,0.93
16500,0.05,0.95
16600,0.04,0.96
16700,0.05,0.95
16800,0.08,0.92
16900,0.06,0.94
17000,0.07,0.93
100,0.67,0.33
200,0.68,0.32
300,0.67,0.33
400,0.67,0.33
500,0.71,0.29
600,0.62,0.38
